epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,epoch_seconds,num_layers,num_filters,kernel_size,dropout_rate,batch_size,lr,weight_decay,image_size,threshold,cache_dtype
1,0.4268325079779828,0.40017561925331896,0.06175173446536064,0.05226069688796997,93.36201786994934,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
2,0.38465057905555683,0.3601827843671195,0.3840909004211426,0.3941532373428345,82.88607716560364,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
3,0.34339708146094794,0.3233642818249615,0.5044012069702148,0.50418621301651,82.80683398246765,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
4,0.3040668525433551,0.2860152669904057,0.572864294052124,0.5882843732833862,82.7587366104126,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
5,0.27320295510180953,0.263442692389855,0.639064610004425,0.6256335377693176,82.8037440776825,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
6,0.2439801239783681,0.23005500882064295,0.7175968885421753,0.7041528820991516,82.79920625686646,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
7,0.21909282610028308,0.21534057795361672,0.7324553728103638,0.7251875996589661,82.767986536026,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
8,0.19728871228444708,0.22043637255329993,0.7388740181922913,0.7186676859855652,82.88302445411682,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
9,0.18049004537432062,0.19490230489182345,0.7780164480209351,0.7633687853813171,82.89145708084106,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
10,0.16814669768636542,0.18184886202082864,0.7926721572875977,0.7778308987617493,82.90196633338928,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
11,0.15591561598289855,0.18851196359649755,0.7853897213935852,0.7752914428710938,82.89699673652649,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
12,0.148226539764379,0.1751593434160212,0.8110345005989075,0.792795717716217,82.97997713088989,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
13,0.13908286103782927,0.18693138746967897,0.785972535610199,0.7394890785217285,82.92172741889954,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
14,0.12996707136295899,0.17931482455225026,0.8014590740203857,0.7750370502471924,83.00312662124634,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
15,0.1207231507034602,0.18271721526580548,0.7927387952804565,0.7641752362251282,83.06187748908997,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
16,0.11256829327795778,0.17843288834438342,0.8054571151733398,0.7861118912696838,83.10504627227783,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
17,0.10372226589642262,0.1843066989789069,0.813061535358429,0.7958071827888489,83.19830465316772,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
18,0.09498440482034266,0.18819304942444953,0.8105757236480713,0.7921393513679504,83.20989608764648,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
19,0.08911185686217721,0.19770855696768583,0.792166531085968,0.7631471157073975,83.19267058372498,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
20,0.08345510504959644,0.2034181608150385,0.7987825274467468,0.7851677536964417,83.21289348602295,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
21,0.0754234976998301,0.1935864448307452,0.8077254891395569,0.7904505729675293,83.2399468421936,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
22,0.07018417143808356,0.2013534978032112,0.8115496039390564,0.7945618033409119,83.31994867324829,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
23,0.06569230950822612,0.2031423946372725,0.811103343963623,0.7903609871864319,83.30983567237854,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
24,0.06105589482277235,0.21350727778108047,0.8156160116195679,0.7961960434913635,83.3007459640503,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
25,0.05470847894514707,0.2228139544162426,0.8015136122703552,0.7894142270088196,83.35550928115845,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
26,0.050933756403516335,0.22277544427109958,0.8152452707290649,0.7967373728752136,83.39842772483826,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
27,0.048773214458109504,0.22771604509227816,0.8064237833023071,0.7899277806282043,83.40901064872742,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
28,0.04399330194319951,0.2504191272267289,0.7905370593070984,0.7694932818412781,83.39982056617737,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
29,0.04082560398368144,0.2562109316344338,0.8084304332733154,0.7824468016624451,83.44574403762817,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
30,0.03954571438097642,0.24423171539586003,0.8152381181716919,0.7954959273338318,83.46908235549927,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
31,0.03563252916984044,0.24032660715002066,0.8094831705093384,0.7905642986297607,83.45805358886719,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
32,0.03664698293167375,0.2545742559091776,0.806620180606842,0.7841875553131104,83.41912770271301,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
33,0.034373667614981784,0.2600788943936019,0.799369752407074,0.7824206352233887,83.4472770690918,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
34,0.03195314706190447,0.25501114356603094,0.8108763694763184,0.7951739430427551,83.40771627426147,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
35,0.02776578863100739,0.2688611655467738,0.8177973031997681,0.7971959710121155,83.43379473686218,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
36,0.02649680198098912,0.26435452579172436,0.8110647201538086,0.795443594455719,83.40675711631775,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
37,0.02745702020015245,0.2797933739658332,0.8099315166473389,0.7913753390312195,83.47617554664612,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
38,0.02679437281132354,0.29069403470735433,0.8168964982032776,0.7875511050224304,83.47247624397278,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
39,0.024266563462803977,0.27779239490761526,0.8103806376457214,0.788659393787384,83.45593047142029,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
40,0.02433177612650411,0.3050533259330794,0.807083249092102,0.7875149846076965,83.41933393478394,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
41,0.02326365259931817,0.2879313129858382,0.8134714961051941,0.788290798664093,83.42245674133301,4,128,7,0.5,32,0.0001,0.0001,224,0.5,uint8
